corpus_id,query_id,score,original_query,document_text,synthetic_query,assigned_task_type
c:vabb:510138,7695,1,EUR.Friends module BENL-NLNL,EUR.Friends BENL-NLNL maakt deel uit van een 12-delige reeks online e-learning modules over talen-en-culturen van de Euregio Maas-Rijn. De modules werden ontwikkeld in het kader van het project EUR.Friends (Interreg VA).,In welk project werden e-learning modules over grensregio culturen ontwikkeld?,Task_1
c:vabb:80505,8846,1,Recente arresten van het GEA en HJEU in verband met het auteursrecht (mei 2003 – oktober 2003),(auteursrecht openbaar uitleenrecht),Welke auteursrechtelijke bepalingen gelden voor openbare uitleen van werken?,Task_2
c:vabb:390823,4828,1,"Zakgeld, echtscheiding en macht van het kind: een ruiltheoretische invalshoek","In het laatste decennium zijn onderzoekers interesse beginnen vertonen in het zakgeld van kinderen. Hoewel reeds meermaals werd aangetoond dat ouders en kinderen stellen dat een sociale ruil plaatsvindt in het gezin tussen het zakgeld van kinderen en hun huishoudelijke taken, werd nog geen expliciet onderzoek uitgevoerd over deze sociale ruil. Aan de hand van data van het Scheiding in Vlaanderen project (N=686), onderzoekt deze paper het zakgeld van kinderen als een ruiluitkomst van huishoudelijke taken, met een nadruk op de invloed van gezinsstructuur. Deze invloed wordt verkend door de literatuur over de sociale ruiltheorie en met name door Emersons (1962) power-dependence theory. Voorts wordt de kans op zakgeld en het zakgeldbedrag niet enkel in het algemeen onderzocht, maar worden ook afzonderlijke logistische en lineaire regressieanalyses uitgevoerd op de data van kinderen in intacte en niet-intacte gezinnen. Huishoudelijke taken, gezinsstructuur, gender en leeftijd van het kind, equivalent huishoudinkomen en het aantal items dat kinderen dienen te betalen met hun zakgeld worden in de analyses opgenomen. De resultaten worden bediscussieerd en mogelijke verklaringen voor deze bevindingen en suggesties voor toekomstig onderzoek worden ontwikkeld.",Welke invloed heeft gezinsstructuur op zakgeld en huishoudelijke taken?,Task_1
c:vabb:456781,6517,1,Inclusief onderwijs : een overzicht vanuit de literatuur,"Over de hele wereld voltrekken zich beleidsontwikkelingen en praktijken ten aanzien van inclusief onderwijs. Er werden reeds verschillende overzichtsartikelen over inclusief onderwijs geschreven, maar wat ontbreekt is een overzicht van onderzoek naar (aspecten van) inclusief onderwijs. Een samenvatting van eerdere overzichtsartikelen kan beleid, praktijk en onderzoek naar inclusief onderwijs inspireren. Een analyse van literatuur leidde tot vier hoofdthema's: (1) attitudes ten aanzien van inclusief onderwijs, (2) de professionele ontwikkeling van leraren ten voordele van inclusief onderwijs, (3) praktijken die inclusief onderwijs in de hand werken, en (4) participatie van leerlingen met specifieke onderwijsbehoeften. De belangrijkste conclusie is dat professionele ontwikkeling van leraren, gebaseerd op goede praktijkvoorbeelden die leiden tot succesvolle lerarenervaringen en gelegenheid tot intervisie of bespreking van concrete casussen achteraf, van vitaal belang is voor de implementatie van inclusief onderwijs.",Welke factoren zijn essentieel voor succesvolle implementatie van inclusief onderwijs?,Task_2
c:vabb:387598,4563,1,Wet en Duiding. Huur,"Volledige en compacte verzameling in verband met huurrecht:
<br/>
<br/>Wet &amp; Duiding Huurrecht verzamelt niet alleen de wetgeving inzake huurrecht in de oorspronkelijke zin van het woord (gemeen huurrecht, woning- en handelshuur, pacht, sociale huur), maar ook alle ermee verbonden relevante aspecten. Het huurrecht is vandaag een uitgebreide en complexe materie geworden, die bovendien snel evolueert. Voor de rechtspraktizijn is het dan ook van het grootste belang te kunnen beschikken over een volledige verzameling van up-to-date teksten.
<br/>
<br/>Originele multidisciplinaire aanpak:
<br/>
<br/>Onder de noemer 'huurrecht' wordt een dwarsdoorsnede van het recht gemaakt. Hierbij worden alle domeinen van het recht in zijn relatie met huur betrokken: het personen- en familierecht, huwelijksvermogensrecht en erfrecht; het zakenrecht en zekerheidsrecht; het algemene verbintenissenrecht; het gerechtelijk recht; het strafrecht; de handelspraktijken; het faillissement en betalingsachterstand inzake handelstransacties; de fiscaliteit; de reglementering in verband met woningkwaliteit en premies inzake huur en huurtoelagen; de grondrechten,... 
<br/>Zie de inhoudstafel.
<br/>
<br/>Grondig becommentarieerd op basis van rechtspraak en rechtsleer, onmisbaar voor de praktijk:
<br/>
<br/>De wetgeving wordt geduid door middel van uitvoerige artikelsgewijze commentaren: niet alleen wetshistorieken en verwijzingen naar andere wet- en regelgeving, maar vooral uitgebreide toelichting aan de hand van de belangrijkste rechtspraak, een onmisbare bron om het huurrecht te begrijpen en te interpreteren, en rechtsleer. De wetgevende teksten zijn bijgewerkt tot 1 oktober 2009.
<br/>
<br/>Veilig houvast voor al wie met huurrecht wordt geconfronteerd: wetgeving als uitgangspunt, voorzien van verdere verwijzingen:
<br/>
<br/>Niet alleen verschaffen de wetgeving en de annotaties een antwoord op de vele vragen die kunnen rijzen, maar bovendien kunnen deze annotaties bij de oplossing van complexe vraagstukken de uitvalsbasis vormen voor verder onderzoek.
<br/>
<br/>Deel mee in de expertise!
<br/>
<br/>Een equipe van uitgelezen specialisten (uit advocatuur, magistratuur, notariaat, administratie, academische wereld, en uit organisaties die actief zijn i.v.m. huur) die in diverse takken van het recht hun sporen reeds hebben verdiend, werken mee aan deze uitgave. Elke auteur heeft vanuit zijn eigen rechtsdomein en vanuit zijn sector de wetgeving die relevant is voor bouw, voorzien van de nodige duiding. Hun kennis en ervaring staan garant voor een bijzonder naslagwerk, onmisbaar voor al wie zich met huurrecht bezighoudt.",Bevestigt onderzoek dat huurrecht complex en snel evolueert?,Task_3
c:vabb:272277,791,1,Beleidsprioriteiten van Vlaamse ziekenhuizen: resultaten van een enquête,Dit artikel geeft de resultaten weer van een enquête die het Centrum voor Ziekenhuis- en Verplegingswetenschap begin 2001 verrichtte onder de Vlaamse en Brusselse ziekenhuizen. Hoofddoel van de bevraging was het in kaart brengen van de thema's die de komende jaren prioritaire aandacht zullen krijgen binnen de algemene beleidsstrategie van de ziekenhuizen en waaraan overeenkomstige ondersteuning zal worden geboden op operationeel niveau. Aan de hand van een aantal concrete aandachtspunten werden deze beleidsaspecten getoetst aan de actuele ziekenhuispraktijk. Gegeven dat elke ziekenhuisorganisatie verschillend is werd tot slot een classificatie uitgewerkt op basis van een aantal kernelementen van de ziekenhuisstructuur.,Welke beleidsprioriteiten en operationele ondersteuning kennen ziekenhuisorganisaties?,Task_1
c:vabb:489376,7131,1,Is de moraal van de geneeskunde en de gezondheidszorg maakbaar?,"De observatie van de moderne geneeskunde en de gezondheidszorg brengt ons tot het besluit dat de morele waarden die het welzijn van de fysieke en psychische integriteit van personen beschermen vatbaar zijn voor maakbaarheid. In maatschappijen die de humanisering en de vrijheid hoog in het vaandel dragen, krijgt de medische en psychologische zorg voor personen, in het bijzonder voor personen met chronische aandoeningen, psychiatrische ziekten en beperkingen, gerechtvaardigde ondersteuning.",Waarom is zorg voor kwetsbare personen gerechtvaardigd in humane maatschappijen?,Task_2
c:vabb:376380,4098,1,Distributieovereenkomsten in het Mededingingsrecht,Het boek is een grondige studie van distributieovereenkomsten onder het vernieuwde mededingingsrechtelijke regime van zowel de algemene groepsvrijstellingsverordening (Verordening 330/2010) en groepsvrijstelling in de motorvoertuigensector (Verordening 461/2010) als de nieuwe verticale richtsnoeren van de Europese Commissie.,Welke impact hebben recente mededingingsregels op distributieovereenkomsten?,Task_3
c:vabb:341968,3054,1,"Het geweldsmonopolie en zijn limieten: het Evrm en ordehandhaving bij massabetogingen. Noot onder EHRM 24 maart 2011, Giuliani en Gaggio t. Italië en onder EHRM 21 Juni 2011, Shimovolos t. Rusland","Op 24 maart 2011 deed de Grote Kamer van het EHRM uitspraak over de zaak Giuliani en Gaggio. Deze zaak handelde over het overlijden van Carlo Giuliani door een politiekogel tijdens een betoging tegen de G8 in Genua. In de Italiaanse rechtszaak werd de politieman die de kogel afgevuurd had, vrijgesproken op basis van wettige zelfverdediging. Deze motivatie werd zowel gevolgd door de Kamer in eerste aanleg als door de Grote Kamer van het EHRM waarbij de zaak door de familie van Carlo Giuliani aanhangig gemaakt was. Wel besloot de Kamer dat er sprake was van een schending van de procedurele kant van artikel 2 EVRM, omdat er bepaalde fouten gemaakt geweest zouden zijn bij de gerechtelijke procedure, maar dit werd in het finale arrest door de Grote Kamer tegengesproken. Mensenrechtenactivist Sergey Shimovolos werd gearresteerd, toen hij naar een protestmars wou afreizen. Hij werd meerdere keren om zijn identiteit gevraagd en onder dreiging van geweld naar het politiekantoor gebracht. Daar werd hij na 45 minuten weer vrijgelaten. Shimovolos maakte de zaak, na een vruchteloze procedure op nationaal vlak, aanhangig bij het EHRM. Dat stelde dat zijn vrijheidsberoving in strijd was met artikel 5 EVRM en niet verantwoord kon worden door de uitzonderingen in dat artikel. Ook werd een schending van artikel 8 EVRM vastgesteld, aangezien Shimovolos onrechtmatig in een databank geregistreerd was.",Welke EVRM-artikelen schendt de politie tijdens demonstraties?,Task_1
c:vabb:326887,2424,1,"De PEN-club: “a world-parliament of literature""","Inleiding op het Themanummer over ""De internationale PEN"".
In 1921 opgericht door C.A. Dawson Scott wilde de Internationale PEN-club de wederzijdse verstandhouding tussen schrijvers en (nationale) literaturen stimuleren. De PEN heeft zich vandaag tot doel gesteld wereldwijd literatuur te promoten en de 'freedom of expression' te verdedigen.  De centrale doelstelling van dit themanummer is de geschiedenis van de Nederlandse en Vlaamse PEN-club tijdens het interbellum met elkaar te confronteren en zo een vergelijking mogelijk te maken met de rol, betekenis en werking van de PEN-club in andere 'minor language areas' of landen met meerdere literaturen. Deze vergelijking kan een beter inzicht verschaffen in de geschiedenis van PEN-clubs in de Lage Landen. De vergelijking gebeurt hier nog niet systematisch, maar laat toch toe enkele parallellen te trekken die getoetst kunnen worden aan verder onderzoek. Nadat Megan Doherty de vroegste ontwikkeling van de Internationale PEN-club heeft geschetst, komt de geschiedenis van de PEN in de jaren 1920 in België en Nederland en in de jaren 1930 aan bod. Ondanks de methodologische diversiteit van de bijdragen en verschillende literair-theoretische ambities kunnen de artikelen daarover toch gelezen worden als een aanzet tot de geschiedenis van de PEN-club in de Lage Landen tijdens het Interbellum. Als laatste artikel werd een bijdrage over de Spaanse PEN-clubs opgenomen. Die geschiedenis moest nog geschreven worden en is naast de bestaande geschiedenissen van bijvoorbeeld de Servische, Zweedse en Tsjechische PEN een interessant referentiepunt.",Wat is de geschiedenis van PEN-clubs in de Lage Landen tijdens het interbellum?,Task_2
