query_id,score,corpus_id,original_query,document_text,synthetic_query,assigned_task_type
56627,1,56627,Vervoer Stoffelijke Overschotten,"Deze aanbesteding heeft betrekking op het ‘Vervoer van stoffelijke overschotten (VSO)’.De Opdracht is tweeledig:1. De levering van meldkamerdiensten (Meldkamer-VSO) inzake:a. De coördinatie van Aanvragen voor de uitvoering van (Geconditioneerd) VSO;b. De coördinatie en afhandeling van declaraties en facturen van Vervoerders en Mortuaria .2. De levering van (Geconditioneerd-)VSO:1. Vanaf een vindplaats van een s.o. naar een door de Politie aangewezen locatie. Dit kan zijn een Mortuarium, het NFI (Den Haag) of een onderzoekslocatie ;2. Vanaf een Mortuarium naar het NFI of naar een andere onderzoekslocatie en vice versa).",Aanbestedingen voor geconditioneerd transport en coördinatie van overledenen.,Task_1
136477,1,136477,Doorstroombegeleiding en Jobhunting,"De opdracht ""Doorstroombegeleiding en Jobhunting"" heeft als doelstelling om doelgroepwerknemers uit de sociale economie te helpen de overstap te maken naar een tewerkstelling in het regulier economisch circuit.",Hoe help je doelgroepwerknemers van sociale naar reguliere tewerkstelling?,Task_2
98166,1,98166,Marktconsultatie - Marktconsultatie Bedrijfskleding (verwachte einddatum: 28.6.2019).,"De Gemeente Tilburg bereidt zich voor op een Europese aanbesteding voor het contracteren van een (keten)partner die de productie, implementatie en logistiek verzorgt van de bedrijfskleding, persoonlijke beschermingsmiddelen (PBM) en schoeisel. Er worden verschillende type bedrijfskleding aanbesteed, te weten: Veiligheidsbedrijfskleding; Representatieve bedrijfskleding (kostuums); BOA bedrijfskleding;Voorafgaand aan deze Europese aanbesteding wenst de Gemeente Tilburg relevante input en feedback te vergaren middels een marktconsultatie.Met deze marktconsultatie vraagt de gemeente Tilburg aan de markt:• Om mee te denken en mogelijke oplossingen te geven;• Om innovaties aan te dragen;• Of er interesse is in het inschrijven op een mogelijke aanbesteding;• Om inzicht te geven in kennis en ervaringen door marktpartijen met soortgelijke projecten.",Is er een marktconsultatie voor aanbestedingen van bedrijfskleding en PBM?,Task_3
90786,1,90786,Uitbreiding dagziekenhuis project 6 – Perceel 45: Monitoringsystemen.,"Uitbreiding dagziekenhuis – project 6. Perceel 45: monitoringsystemen : recoverymonitor, microstream CO2 uitbreiding, voorbereidingsmonitor, slavescherm AN-monitor, set specifieke toebehoren OP-zalen, monitoringcentrale met 2 schermen en 17 licenties.",Zoek aanbestedingen voor patiëntbewaking en monitoringapparatuur bij ziekenhuisuitbreiding.,Task_1
12779,1,12779,Riool- en weginspecties.,De gemeente Hoorn is van plan om een dienstverlener voor het uitvoeren van rioolinspectie en -reiniging (perceel 1) en weginspectie (perceel 2) te selecteren en te contracteren. De aanbieder kan een offerte uitbrengen voor één van de percelen of voor beide percelen gezamenlijk. Een offerte voor uitvoering van beide percelen door één inschrijver geniet de voorkeur.De gemeente heeft gekozen voor de Europese openbare procedure. Daarbij mag iedereen naar aanleiding van de aankondiging inschrijven. Wij zijn van plan om aan maximaal één inschrijver per perceel of per gecombineerde inschrijving de opdracht te gunnen en wel aan de inschrijver(s) met de economisch meest voordelige inschrijving.,"Uitleg aanbestedingsprocedure, voorkeur gecombineerde inschrijvingen en gunningscriteria.",Task_2
47639,1,47639,Leveren op afroep van diverse bouw- en andere materialen voor verschillende stadsdiensten.,"Het leveren van diverse bouw- en andere materialen voor de dienst openbare werken van het stadsbestuur van Sint-Niklaas met ingang van 1.1.2013, gedurende een periode van minimum 1 jaar en maximum 3 jaar.",Leveringscontracten voor gemeentelijke bouwmaterialen duren vaak tussen één en drie jaar.,Task_3
92686,1,92686,Tuinonderhoud,De opdracht heeft tot voorwerp het verzorgen van het regelmatig onderhoud van de tuinen van OPZ Geel gedurende een periode van 48 maanden. De opdracht is opgedeeld in 2 percelen. Het eerste perceel omvat het onderhoud van de gazon (inclusief grazige vegetatie). Het tweede perceel omvat het onderhoud van de beplanting.,Aanbestedingen tuinonderhoud 48 maanden met aparte percelen gazon en beplanting,Task_1
45501,1,45501,"Huur digitale afdrukapparaten gemeente, OCMW en politiezone Brasschaat.","Huur digitale afdrukapparaten gemeente, OCMW en politiezone Brasschaat.",Aanbestedingen voor verhuur van multifunctionele printers aan publieke sector,Task_2
50730,1,50730,Marktconsultatie hulpmiddelen.,"Het betreft een uitvraag te doen ter voorbereiding op de voorgenomen aanbesteding ten behoeve van het afsluiten van 1 overeenkomst voor: de huur van Wmo hulpmiddelen voor het onderhouden van het huidige uitstaande, in eigendom van de aanbestedende dienst zijnde Wmo hulpmiddelen ende Wmo hulpmiddelen die door de huidige leverancier Welzorg in verhuur zijn verstrekt.",Overheden huren hulpmiddelen voor maatschappelijke ondersteuning in.,Task_3
99900,1,99900,Levering en onderhoud van AED's,Levering en onderhoud van AED's,Wie levert en onderhoudt apparatuur voor hartreanimatie?,Task_1
